codigo_distrito,tipo_evento,fecha_inicio,fecha_fin,severidad,fuente,descripcion
50807,lluvia_intensa,2017-10-05,,,"DesInventar Costa Rica, ficha 2017-00766 (evento SPATE)","Arenal, Viejo Arenal. Socavacion de la calzada, perdidas en puentes y rios. Cuatro fincas de ganado con perdidas por avenida torrencial. Perdidas registradas: 1808 USD. Corresponde a la Depresion Tropical No.16 / Tormenta Tropical Nate."
50805,lluvia_intensa,2017-10-05,,,"DesInventar Costa Rica, ficha 2017-00767 (evento LANDSLIDE)","Libano Centro, Vergel. Dano en superficie de ruedo, obstruccion de cunetas por deslizamientos, cortes totales en carretera por socavacion. 15400 m de danos en vias. Deslizamiento desencadenado por las lluvias del mismo temporal."
50802,lluvia_intensa,2017-10-05,,,"DesInventar Costa Rica, ficha 2017-00768 (evento RAIN)","Quebrada Grande Centro, El Dos, La Esperanza, Las Brisas. Fincas afectadas: ganaderia de carne 1, ganaderia de leche 93, platano 31, hortalizas 1, cafe 3. Escuela La Esperanza afectada. 123471 m de danos en vias. Perdidas: 726148 USD."
50804,lluvia_intensa,2017-10-05,,,"DesInventar Costa Rica, ficha 2017-00769 (evento RAIN)","Santa Rosa Centro, Parcelas, Quebrada Azul. Colapso total de alcantarillado provocando corte de carretera. Ocho fincas de ganaderia de leche afectadas. Perdidas: 32669 USD."
50806,lluvia_intensa,2017-10-05,,,"DesInventar Costa Rica, ficha 2017-00770 (evento RAIN)","Tierras Morenas Centro, Tejonas. Obstruccion de media calzada. Fincas con perdidas: maiz 2, tomate 2. 17750 m de danos en vias. Perdidas: 24681 USD."
50801,lluvia_intensa,2017-10-05,,,"DesInventar Costa Rica, ficha 2017-00771 (evento RAIN)","La Torre, Rio Chiquito, El Silencio. Perdidas en puentes, derrumbe en cuneta y carril izquierdo. Cultivo de tomate 3, aves 2. 48290 m de danos en vias. Perdidas: 313371 USD."
50803,lluvia_intensa,2017-10-05,,,"DesInventar Costa Rica, ficha 2017-00772 (evento RAIN)","Tronadora Centro. Perdidas en puentes, carril derecho y cuneta obstruidos. 18580 m de danos en vias. Perdidas: 166310 USD."
50807,lluvia_intensa,2017-05-26,,,"DesInventar Costa Rica, ficha 2017-00015 (evento LANDSLIDE)","Fuertes lluvias provocaron varios deslizamientos en la zona, con afectacion de muchas familias. 15 viviendas destruidas, 60 damnificados, 60 afectados. La ficha atribuye explicitamente el deslizamiento a las lluvias."
50801,sequia,2014-09-30,,,"DesInventar Costa Rica, ficha 2014-00193 (evento DROUGHT)","Monsenor Morera, El Silencio, San Luis. Areas cultivadas de chile picante y lechuga afectadas. Los acueductos de las ASADA de Monsenor Morera, San Luis y El Silencio tuvieron disminucion de caudal. Declaratoria de emergencia por Decreto Ejecutivo 38642-MP-MAG."
50802,sequia,2014-09-30,,,"DesInventar Costa Rica, ficha 2014-00194 (evento DROUGHT)","San Ramon, Las Nubes. Areas cultivadas de cafe afectadas. Declaratoria de emergencia por Decreto Ejecutivo 38642-MP-MAG."
50803,sequia,2014-09-30,,,"DesInventar Costa Rica, ficha 2014-00195 (evento DROUGHT)","Areas cultivadas de tomate, chile dulce y lechuga afectadas. Declaratoria de emergencia por Decreto Ejecutivo 38642-MP-MAG."
50804,sequia,2014-09-30,,,"DesInventar Costa Rica, ficha 2014-00196 (evento DROUGHT)","Areas cultivadas de maiz afectadas. Afectacion en pasto y pasto de corte para ganaderia. Declaratoria de emergencia por Decreto Ejecutivo 38642-MP-MAG."
50805,sequia,2014-09-30,,,"DesInventar Costa Rica, ficha 2014-00197 (evento DROUGHT)","Solania, San Jose. Areas cultivadas de cafe, maiz, aguacate, tomate, chile dulce y lechuga afectadas. Afectacion en pasto y pasto de corte para ganaderia."
50806,sequia,2014-09-30,,,"DesInventar Costa Rica, ficha 2014-00198 (evento DROUGHT)","Areas cultivadas de tomate y chile dulce afectadas. Afectacion en pasto y pasto de corte para ganaderia. Declaratoria de emergencia por Decreto Ejecutivo 38642-MP-MAG."
50807,sequia,2014-09-30,,,"DesInventar Costa Rica, ficha 2014-00199 (evento DROUGHT)","El acueducto de la ASADA de Arenal tuvo disminucion permanente del caudal."
50807,lluvia_intensa,2014-10-05,,,"DesInventar Costa Rica, ficha 2014-00073 (evento LANDSLIDE)","La Union, ruta nacional 142 que comunica Tilaran con La Fortuna. Paso regulado por deslizamiento. 1000 m de danos en vias."
50801,lluvia_intensa,2013-10-03,,,"DesInventar Costa Rica, ficha 2013-00396 (evento FLOOD)","Barrio La Cabra. Una vivienda inundada, 4 damnificados. La cifra de damnificados la pondera DesInventar con el promedio nacional de habitantes por vivienda del Censo 2011 del INEC, no es un conteo directo."
50801,lluvia_intensa,2013-10-02,,,"DesInventar Costa Rica, ficha 2013-00388 (evento FLOOD)","Las Parcelas, alrededores de Coocique y San Antonio. Cinco viviendas inundadas, puente destruido, liceo inundado y caida de un muro de contencion. 20 damnificados ponderados."
50801,lluvia_intensa,2013-09-26,,,"DesInventar Costa Rica, ficha 2013-00355 (evento FLOOD)","Tilaran centro. Una vivienda inundada, 4 damnificados ponderados."
50801,lluvia_intensa,2012-06-22,,,"DesInventar Costa Rica, ficha 2012-00207 (evento FLOOD)","Tilaran. 8 viviendas afectadas, 32 damnificados ponderados con el Censo 2011 del INEC."
50807,lluvia_intensa,2012-05-31,,,"DesInventar Costa Rica, ficha 2012-00019 (evento SPATE)","La Union de Nuevo Arenal, ruta nacional 142. Destruccion del puente de concreto sobre la quebrada Flores y del paso de alcantarilla."
50805,lluvia_intensa,2011-10-19,,,"DesInventar Costa Rica, ficha 2011-00915 (evento FLOOD)","Ruta 925. Paso cerrado por inundaciones. Superficie de ruedo danada."
50806,lluvia_intensa,2011-10-19,,,"DesInventar Costa Rica, ficha 2011-00916 (evento FLOOD)","Ruta 927, entrada principal de Tierras Morenas hacia Tilaran y Canas. Paso regulado. Dano en la superficie de ruedo."
50801,lluvia_intensa,2011-10-19,,,"DesInventar Costa Rica, ficha 2011-00917 (evento FLOOD)","Ruta 925, Tilaran (rio Higueron) hacia San Jose (iglesia). Paso cerrado por inundacion."
50804,lluvia_intensa,2011-10-01,,,"DesInventar Costa Rica, ficha 2011-00690 (evento FLOOD)","Los Angeles. La fuente no especifica la cantidad de viviendas anegadas."
50801,lluvia_intensa,2011-09-02,,,"DesInventar Costa Rica, ficha 2011-00575 (evento FLOOD)","El Carmen. Se inundo el salon del liceo. 2 viviendas afectadas, 8 damnificados ponderados."
50801,lluvia_intensa,2010-07-20,,,"DesInventar Costa Rica, fichas 2010-00370 y 2010-00337 (evento FLOOD)","Ciudadela Juan XXIII y sector frente a la CCSS. 7 viviendas afectadas, 25 damnificados ponderados. En el segundo punto varias viviendas inundadas con nivel de agua de 25 cm, sin numero especificado."
